;ragdoll_bone.dat
;datas of bones are defined in this file
;
;parent	id	axis1-1	axis1-2	axis2-1	axis2-2	part
-1	0	0	1	4	7	0	; ROOT
0	1	0	1	4	7	0	; PELVIS
1	2	0	1	10	13	0	; SPINE
2	3	1	2	10	13	0	; SPINE1
3	4	2	3	10	13	0	; NECK
4	5	2	3	10	13	0	; HEAD
5	6	2	3	10	13	0	; L_BROW
5	7	2	3	10	13	0	; R_BROW
5	8	2	3	10	13	0	; JAW
4	21	0	2	4	7	0	; R_CLAVICLE
9	22	4	5	4	7	4	; R_UPPERARM
10	23	5	6	4	5	4	; R_FOREARM
11	24	5	6	4	5	4	; R_HAND
12	25	5	6	4	5	4	; R_FINGER
13	26	5	6	4	5	4	; R_FINGER01
4	31	0	2	4	7	0	; L_CLAVICLE
15	32	7	8	7	4	7	; L_UPPERARM
16	33	8	9	7	8	7	; L_FOREARM
17	34	8	9	7	8	7	; L_HAND
18	35	8	9	7	8	7	; L_FINGER
19	36	8	9	7	8	7	; L_FINGER01
1	41	10	11	10	12	10	; L_THIGH
21	42	11	12	10	12	10	; L_CALF
22	43	11	12	10	12	10	; L_FOOT
23	44	11	12	10	12	10	; L_TOE0
1	51	13	14	13	15	13	; R_THIGH
25	52	14	15	13	15	13	; R_CALF
26	53	14	15	13	15	13	; R_FOOT
27	54	14	15	13	15	13	; R_TOE0
2	201	0	1	10	13	0	; BELLY
3	301	1	2	4	7	0	; R_BREAST
3	302	1	2	4	7	0	; L_BREAST
