//
/////////////////////////////////////////// EXTRASUNNY_LA
//
// Amb            Amb_Obj        Dir            Sky top        Sky bot        SunCore        SunCorona         SunSz    SprSz    SprBght    Shdw    LightShd    PoleShd    FarClp    FogSt     LightOnGround    LowCloudsRGB      BottomCloudRGB    WaterRGBA              Alpha1    RGB1              Alpha2    RGB2              CloudAlpha    IntensityLimit    WaterFogAlpha    DirMult
// Midnight
     4   4   6    230 230 240    255 255 255      0   0   1      0   0   1    255 128   0       5    0    0     1.0      1.0        0.3     200       100           0       800.0     100.0     1.0               30   20    0       3    3    3      85   85   65  240      255        0    0    3      255        0    0    1        0            90                 0            1.0    
// 1AM
     7   7   4    232 230 238    255 255 255      0   0   1      2   2   3    255 128   0      55   25    0     0.8      1.0       0.28     190       100           0       800.0     100.0     1.0               31   17    2       7    8    9      78   88   72  240      255        3    3    2      255        1    1    0        0            90                 0            1.0    
// 2AM
    11  11   3    234 230 236    255 255 255      1   1   1      5   5   6    255 128   0     105   51    0     0.6      1.0       0.26     180       100           0       800.0     100.0     1.0               32   15    4      12   13   16      72   92   80  240      255        6    6    1      255        2    2    0        0            90                 0            1.0    
// 3AM
    15  15   2    236 230 234    255 255 255      1   1   2      8   8   8    255 128   0     155   76    0     0.4      1.0       0.24     170       100           0       800.0     100.0     1.0               33   13    6      17   19   22      65   96   88  240      255        9    9    1      255        4    4    0        0            90                 0            1.0    
// 4AM
    19  19   1    238 230 232    255 255 255      2   2   2     11  11  11    255 128   0     205  102    0     0.2      1.0       0.22     160       100           0       800.0     100.0     1.0               34   11    8      22   24   29      59  100   96  240      255       12   12    0      255        5    5    0        0            90                 0            1.0    
// 5AM
    23  23   0    240 230 230    255 255 255      3   3   3     14  14  14    255 128   0     255  128    0     0.0      1.0        0.2     150       100           0       800.0     100.0     1.0               35    9   10      27   30   36      53  104  104  240      255       15   15    0      255        7    7    0        0            90                 0            1.0    
// 6AM
    22  22  22    210 194 182    255 255 255     90 205 255    200 144  85    255 128   0     255  128    0     8.4      1.0        0.3     140        93           0      1600.0     100.0     0.8              100   34   25     120   92   88      90  170  170  240      255       86   86   86      255      149   94    0       25           120                 0            1.0    
// 7AM
     5   0   0    210 194 182    255 255 255     90 205 255     90 200 255    255 255 255     255  255  255     2.2      1.0        0.3     100        50          75      1600.0     100.0     0.5              120   40   40     159  142  106     145  170  170  240      255      133  106   70      255       96   61   15       25           180                 0            1.0    
// 8AM
