79
-375.499 -1345.18 9.811
-375.499 -1322.56 9.811
-375.499 -1301.32 9.811
-375.499 -1292.27 9.811
-375.499 -1265.81 9.811
-375.499 -1246.63 9.811
-376.659 -1234.82 9.811
-379.179 -1224.72 9.811
-383.208 -1214.57 9.811
-467.024 -1006.96 9.811
-472.327 -987.385 9.811
-473.298 -963.76 9.811
-473.298 -929.921 9.811
-471.821 -909.628 9.811
-469.639 -895.917 9.811
-465.346 -881.806 9.811
-461.911 -871.17 9.811
-455.533 -858.748 9.811
-447.611 -846.932 9.811
-440.325 -839.761 9.811
-430.713 -832.851 9.811
-136.536 -639.48 9.811
-119.606 -626.487 9.811
-104.802 -612.555 9.811
-98.5672 -603.254 9.811
-91.7826 -591.587 9.811
-86.2269 -580.279 9.811
-81.0724 -563.786 9.811
-58.5426 -407.522 9.811
-59.2357 -378.578 9.811
-63.6985 -353.182 9.811
-72.7318 -330.046 9.811
-87.3787 -301.08 9.811
-354.269 306.632 9.811
-359.625 325.277 9.811
-361.825 350.171 9.811
-361.412 374.792 9.811
-358.492 409.285 9.811
-353.097 446.268 9.811
-337.609 503.847 9.811
-317.548 551.513 9.811
-298.755 583.897 9.811
-280.706 610.787 9.811
-265.516 630.491 9.811
-249.04 647.442 9.811
-229.539 664.826 9.811
-210.412 674.406 9.811
133.002 801.509 9.811
155.262 811.648 9.811
171.887 826.266 9.811
184.689 846.154 9.811
190.835 866.221 9.811
196.536 906.686 9.811
199.578 1027.56 9.811
197.68 1056.4 9.811
190.021 1082.17 9.811
150.435 1170.42 9.811
141.831 1190.03 9.811
136.191 1207.93 9.811
132.912 1229.61 9.811
132.0 1249.41 9.811
132.0 1587.49 9.811
134.462 1624.93 9.811
140.946 1656.84 9.811
150.904 1687.24 9.811
166.023 1714.19 9.811
188.21 1738.73 9.811
218.173 1755.42 9.811
250.672 1764.49 9.811
336.51 1775.92 9.811
439.388 1785.75 9.811
519.224 1794.15 9.811
587.972 1805.83 9.811
648.198 1825.39 9.811
745.896 1869.92 9.811
815.605 1900.1 9.811
892.252 1914.04 9.811
989.205 1920.41 9.811
1495.0 1920.37 9.811
