828.765,-397.226,20.411,999,999,999,793.635,-408.718,-44.3106,856.296,-316.516,44.3106,62.0,1.0,
800.585,-468.776,21.1396,827.396,-434.573,21.1396,736.344,-553.735,-22.0436,863.458,-406.033,22.0436,60.0,0.9,
772.773,-584.796,24.4,999,999,999,732.764,-598.458,-32.2259,798.111,-554.299,32.2259,45.0,1.0,
820.49,-842.886,24.9978,999,999,999,747.828,-870.896,-46.1009,865.278,-797.096,46.1009,45.0,1.0,
1046.97,-821.39,30.3429,999,999,999,1033.29,-844.949,-43.863,1171.49,-783.183,43.863,57.0,1.0,
1229.54,-749.723,36.1131,999,999,999,1166.37,-864.745,-43.4154,1335.56,-664.228,43.4154,59.9999,1.0,
1277.02,-493.731,44.9196,999,999,999,1205.67,-541.455,-41.6251,1346.04,-476.989,41.6251,54.9996,1.0,
762.0,-631.0,23.83,847.629,-536.984,23.8,732.764,-650.736,-32.2259,798.111,-597.178,32.2259,45.0,1.0,
769.8,-667.0,18.0,999,999,999,732.764,-731.148,-32.2259,798.111,-646.389,32.2259,45.0,1.0,
949.64,-812.245,16.8769,999,999,999,852.923,-901.786,-72.4887,1056.52,-765.948,72.4887,61.0,1.0,
774.594,-807.644,31.9484,999,999,999,726.639,-808.742,-49.2614,828.553,-712.565,49.2614,67.0,1.0,
1126.2,-516.398,30.4338,999,999,999,992.478,-529.38,-42.96,1207.34,-466.097,42.96,45.0,1.0,
991.799,-458.167,18.1568,999,999,999,979.56,-474.647,-41.6795,1056.3,-376.14,41.6795,45.0,1.0,
992.129,-381.628,28.4233,999,999,999,969.169,-384.472,-39.7027,1045.08,-327.47,39.7027,45.0,1.0,
1018.83,-289.346,34.9435,999,999,999,972.633,-334.333,-46.2386,1081.02,-235.523,46.2386,54.9996,1.0,
1058.39,-183.739,25.0186,999,999,999,1009.77,-249.353,-36.6127,1084.7,-175.592,36.6127,45.0,1.0,
1036.89,-157.01,25.0735,999,999,999,1014.98,-175.578,-25.6266,1081.56,-112.299,25.6266,54.4322,1.0,
1045.21,-86.5653,17.0689,999,999,999,1025.28,-124.184,-22.885,1073.37,-51.3534,22.885,45.0,1.0,
995.652,-2.711,27.4335,999,999,999,982.45,-60.9207,-32.9906,1065.84,24.8883,32.9906,45.0,1.0,
892.18,-5.41089,24.9253,999,999,999,874.642,-19.8439,-30.5622,986.292,32.7721,30.5622,54.4322,1.0,
784.98,-54.8815,29.04,999,999,999,785.168,-107.809,-57.9536,885.054,41.2264,7.14642,54.4322,1.0,
758.806,-122.846,28.6985,999,999,999,737.128,-134.988,-27.2685,789.791,-58.9238,29.0315,54.4322,1.0,
773.566,-179.224,24.9958,999,999,999,723.953,-257.743,-33.0197,793.532,-129.101,27.1803,54.4322,1.0,
803.516,-306.588,20.2822,999,999,999,739.841,-340.256,-39.2604,835.865,-227.122,39.2604,56.0,1.0,
1285.55,-541.014,45.3256,999,999,999,1283.14,-664.923,-52.34,1377.49,-537.898,52.34,54.4322,1.0,
;
