//
///////////////////////////////////////////EXTRASUNNY_LA 
//
// Midnight 
//	Amb			Amb_Obj			Dir 			Sky top			Sky bot			SunCore			SunCorona			SunSz		SprSz		SprBght			Shdw LightShd PoleShd		FarClp		FogSt		LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1 RGB1			Alpha2 RGB2			CloudAlpha	IntensityLimit	WaterFogAlpha	DirMult
	35 35 35			170 170 170			255 255 255 			9 11 13 			14 18 20 			0 0 0 			0 0 0 			0.0		1.4		0.8			200 150 255			400.0		20.0		0.8			25 20 15			30 25 18			65 65 65 255			127 87 87 87			127 88 106 70			0	255	0	1.00		
// 1AM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
	35 35 35			170 170 170			255 255 255 			9 11 13 			14 18 20 			0 0 0 			0 0 0 			0.0		1.4		0.8			200 150 255			400.0		20.0		0.8			25 20 15			30 25 18			65 65 65 255			127 85 85 85			127 94 115 77			0	255	0	1.00		
// 2AM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
	35 35 35			170 170 170			255 255 255 			9 11 13 			14 18 20 			0 0 0 			0 0 0 			0.0		1.4		0.8			200 150 255			400.0		20.0		0.8			25 20 15			30 25 18			65 65 65 255			127 84 84 84			127 100 120 87			0	255	0	1.00		
// 3AM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
	35 35 35			170 170 170			255 255 255 			9 11 13 			14 18 20 			0 0 0 			0 0 0 			0.0		1.4		0.8			200 150 255			400.0		20.0		0.8			25 20 15			30 25 18			65 65 65 255			127 82 82 82			127 100 124 86			0	255	0	1.00		
// 4AM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
	40 40 40			170 170 170			255 255 255 			9 11 13 			14 18 20 			0 0 0 			0 0 0 			0.0		1.3		0.8			200 150 255			400.0		20.0		0.8			25 20 15			30 25 18			65 65 65 255			127 81 81 81			127 106 147 85			0	255	0	1.00		
// 5AM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
	40 40 40			160 160 160			255 255 255 			15 18 20 			30 36 40 			255 194 139 			255 194 139 			0.0		0.8		0.8			200 150 255			400.0		10.0		0.8			25 20 15			30 25 18			87 87 87 255			127 93 91 85			127 118 169 97			0	255	0	1.00		
// 6AM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
